headword;pronunciation;POS;accent;schAccent;schGraph;nbSyll;page
['ablution'];['a(bleushu(n'];['/n/'];['a@blution'];['100'];['V1CCVCVVC'];['3'];['ablative-abruptness']
['abnegation'];['a(bni(gaishu(n'];['/n/'];['abnega@tion'];['0010'];['VCCVCV1CVVC'];['4'];['ablative-abruptness']
['abnormous'];['a(bno(rmu(ss'];['/adj/'];['abno@rmous'];['010'];['VCCV1CCVVC'];['3'];['ablative-abruptness']
['abode'];['a(bo)d'];['/n/'];['abo@de'];['01'];['VCV1CV'];['2'];['ablative-abruptness']
['abolish'];['a(bo(li(sh'];['/v/'];['abo@lish'];['010'];['VCV1CVCC'];['3'];['ablative-abruptness']
['abominate'];['a(bo(mi(nait'];['/v/'];['abo@minate'];['0100'];['VCV1CVCVCV'];['4'];['ablative-abruptness']
['abortion'];['a(bo%rshu(n'];['/n/'];['abo@rtion'];['010'];['VCV1CCVVC'];['3'];['ablative-abruptness']
['abortive'];['a(bo%rtiv'];['/adj/'];['abo@rtive'];['010'];['VCV1CCVCV'];['3'];['ablative-abruptness']
['abortively'];['a(bo%rti(vly('];['/adv/'];['abo@rtively'];['01000'];['VCV1CCVCVCV'];['5'];['ablative-abruptness']
['abortiveness'];['a(bo%rti(vni(ss'];['/n/'];['abo@rtiveness'];['01000'];['VCV1CCVCVCVCC'];['5'];['ablative-abruptness']
['abortment'];['a(bo%rtmi(nt'];['/n/'];['abo@rtment'];['010'];['VCV1CCCVCC'];['3'];['ablative-abruptness']
['above'];['a(bu(v'];['/prep/'];['abo@ve'];['01'];['VCV1CV'];['2'];['ablative-abruptness']
['abound'];['a(bou*nd'];['/v/'];['abou@nd'];['01'];['VCVV1CC'];['2'];['ablative-abruptness']
['about'];['a(bou*t'];['/prep/'];['abou@t'];['01'];['VCVV1C'];['2'];['ablative-abruptness']
['abracadabra'];['a(bra(ka(daibra('];['/n/'];['abracada@bra'];['00010'];['VCCVCVCV1CCV'];['5'];['ablative-abruptness']
['abridge'];['a(bri(dsh'];['/v/'];['abri@dge'];['01'];['VCCV1CCV'];['2'];['ablative-abruptness']
['abridgement'];['a(bri(dshmi(nt'];['/n/'];['abri@dgement'];['0100'];['VCCV1CCVCVCC'];['4'];['ablative-abruptness']
['abroad'];['a(bra(ud'];['/adv/'];['abroa@d'];['01'];['VCCVV1C'];['2'];['ablative-abruptness']
['abrogate'];['a(bro(gait'];['/v/'];['a@brogate'];['100'];['V1CCVCVCV'];['3'];['ablative-abruptness']
['abrogation'];['a(bro(gaishu(n'];['/n/'];['abroga@tion'];['0010'];['VCCVCV1CVVC'];['4'];['ablative-abruptness']
['abrupt'];['a(bru(pt'];['/n/'];['abru@pt'];['01'];['VCCV1CC'];['2'];['ablative-abruptness']
['abruption'];['a(bru(pshu(n'];['/n/'];['abru@ption'];['010'];['VCCV1CCVVC'];['3'];['ablative-abruptness']
['abruptly'];['a(bru(ptly('];['/adv/'];['abru@ptly'];['010'];['VCCV1CCCV'];['3'];['ablative-abruptness']
['abruptness'];['a(bru(ptni(ss'];['/n/'];['abru@ptness'];['010'];['VCCV1CCCVCC'];['3'];['ablative-abruptness']
['abscess'];['a(bse(ss'];['/n/'];['a@bscess'];['10'];['V1CCCVCC'];['2'];['abscess-abuse']
['abscind'];['a(bsi(nd'];['/v/'];['absci@nd'];['01'];['VCCCV1CC'];['2'];['abscess-abuse']
['abscissa'];['a(bsi(ssa('];['/n/lat/'];['absci@ssa'];['010'];['VCCCV1CCV'];['3'];['abscess-abuse']
['abscission'];['a(bsi(shu(n'];['/n/'];['absci@ssion'];['010'];['VCCCV1CCVVC'];['3'];['abscess-abuse']
['abscond'];['a(bsko)nd'];['/v/'];['absco@nd'];['01'];['VCCCV1CC'];['2'];['abscess-abuse']
['absconder'];['a(bsko)ndi(r'];['/n/'];['absco@nder'];['010'];['VCCCV1CCVC'];['3'];['abscess-abuse']
['absence'];['a(bsi(nss'];['/n/'];['a@bsence'];['10'];['V1CCVCCV'];['2'];['abscess-abuse']
['absent'];['a(bsi(nt'];['/n/'];['a@bsent'];['10'];['V1CCVCC'];['2'];['abscess-abuse']
['absent'];['a(bse(nt'];['/v/'];['abse@nt'];['01'];['VCCV1CC'];['2'];['abscess-abuse']
['absentee'];['a(bsi(ntee'];['/n/'];['absente@e'];['001'];['VCCVCCV1V'];['3'];['abscess-abuse']
['absinthiated'];['a(bsi(nthi(aiti(d'];['/adj/'];['absi@nthiated'];['01000'];['VCCV1CCCVVCVC'];['5'];['abscess-abuse']
['absolve'];['a(bzo)lv'];['/v/'];['abso@lve'];['01'];['VCCV1CCV'];['2'];['abscess-abuse']
['absolute'];['a(bsu(leut'];['/adj/'];['a@bsolute'];['100'];['V1CCVCVCV'];['3'];['abscess-abuse']
['absolutely'];['a(bsu(leutly('];['/adv/'];['a@bsolutely'];['10000'];['V1CCVCVCVCV'];['5'];['abscess-abuse']
['absoluteness'];['a(bsu(leutni(ss'];['/n/'];['a@bsoluteness'];['10000'];['V1CCVCVCVCVCC'];['5'];['abscess-abuse']
['absolution'];['a(bsu(leushun'];['/n/'];['absolu@tion'];['0010'];['VCCVCV1CVVC'];['4'];['abscess-abuse']
['absonous'];['a(bsu(nu(s'];['/adj/'];['a@bsonous'];['100'];['V1CCVCVVC'];['3'];['abscess-abuse']
['absorb'];['a(bso%rb'];['/v/'];['abso@rb'];['01'];['VCCV1CC'];['2'];['abscess-abuse']
['absorbent'];['a(bso%rbi(nt'];['/adj/'];['abso@rbent'];['010'];['VCCV1CCVCC'];['3'];['abscess-abuse']
['abstain'];['a(bstain'];['/v/'];['absta@in'];['01'];['VCCCV1VC'];['2'];['abscess-abuse']
['abstemious'];['a(bstee(mi(u(s'];['/adj/'];['abste@mious'];['0100'];['VCCCV1CVVVC'];['4'];['abscess-abuse']
['abstergent'];['a(bste(rji(nt'];['/adj/'];['abste@rgent'];['010'];['VCCCV1CCVCC'];['3'];['abscess-abuse']
['abstersive'];['a(bste(rsi(v'];['/adj/'];['abste@rsive'];['010'];['VCCCV1CCVCV'];['3'];['abscess-abuse']
['abstinence'];['a(bsti(ni(nss'];['/n/'];['a@bstinence'];['100'];['V1CCCVCVCCV'];['3'];['abscess-abuse']
['abstract'];['a(bstra(kt'];['/n/'];['a@bstract'];['10'];['V1CCCCVCC'];['2'];['abscess-abuse']
['abstract'];['a(bstra(kt'];['/v/'];['abstra@ct'];['01'];['VCCCCV1CC'];['2'];['abscess-abuse']
['abstracted'];['a(bstra(kti(d'];['/adj/'];['abstra@cted'];['010'];['VCCCCV1CCVC'];['3'];['abscess-abuse']
['abstractedly'];['a(bstra(kti(dly('];['/adv/'];['abstra@ctedly'];['0100'];['VCCCCV1CCVCCV'];['4'];['abscess-abuse']
['abstraction'];['a(bstra(kshu(n'];['/n/'];['abstra@ction'];['010'];['VCCCCV1CCVVC'];['3'];['abscess-abuse']
['abstractly'];['a(bstra(ktly('];['/adv/'];['abstra@ctly'];['010'];['VCCCCV1CCCV'];['3'];['abscess-abuse']
['abstruse'];['a(bstreuz'];['/adj/'];['abstru@se'];['01'];['VCCCCV1CV'];['2'];['abscess-abuse']
['abstrusely'];['a(bstreuzly'];['/adv/'];['abstru@sely'];['0100'];['VCCCCV1CVCV'];['4'];['abscess-abuse']
['abstruseness'];['a(bstreuzni(ss'];['/n/'];['abstru@seness'];['0100'];['VCCCCV1CVCVCC'];['4'];['abscess-abuse']
['absume'];['a(bseum'];['/v/'];['absu@me'];['01'];['VCCV1CV'];['2'];['abscess-abuse']
['absurd'];['a(bsu(rd'];['/adj/'];['absu@rd'];['01'];['VCCV1CC'];['2'];['abscess-abuse']
['absurdity'];['a(bsu(rdi(ty('];['/n/'];['absu@rdity'];['0100'];['VCCV1CCVCV'];['4'];['abscess-abuse']
['absurdly'];['a(bsu(rdly('];['/adv/'];['absu@rdly'];['010'];['VCCV1CCCV'];['3'];['abscess-abuse']
['abundance'];['a(bu(ndi(nss'];['/n/'];['abu@ndance'];['010'];['VCV1CCVCCV'];['3'];['abscess-abuse']
['abundant'];['a(bu(ndi(nt'];['/adj/'];['abu@ndant'];['010'];['VCV1CCVCC'];['3'];['abscess-abuse']
['abundantly'];['a(bu(ndi(ntly('];['/adv/'];['abu@ndantly'];['0100'];['VCV1CCVCCCV'];['4'];['abscess-abuse']
['abuse'];['a(beuss'];['/n/'];['abu@se'];['01'];['VCV1CV'];['2'];['abscess-abuse']
['abuse'];['a(beuz'];['/v/'];['abu@se'];['01'];['VCV1CV'];['2'];['abuse-accidentally']
['abuser'];['a(beuzi(r'];['/n/'];['abu@ser'];['010'];['VCV1CVC'];['3'];['abuse-accidentally']
['abusive'];['a(beussi(v'];['/adj/'];['abu@sive'];['010'];['VCV1CVCV'];['3'];['abuse-accidentally']
['abusively'];['a(beussi(vly('];['/adv/'];['abu@sively'];['01000'];['VCV1CVCVCV'];['5'];['abuse-accidentally']
['abutment'];['a(bu(tmi(nt'];['/n/'];['abu@tment'];['010'];['VCV1CCVCC'];['3'];['abuse-accidentally']
['abyss'];['a(bi(ss'];['/n/'];['aby@ss'];['01'];['VCV1CC'];['2'];['abuse-accidentally']
['academial'];['a(ka(de(myi(l'];['/adj/'];['acade@mial'];['0010'];['VCVCV1CVVC'];['4'];['abuse-accidentally']
['academian'];['a(ka(de(myi(n'];['/n/'];['acade@mian'];['0010'];['VCVCV1CVVC'];['4'];['abuse-accidentally']
['academic'];['a(ka(de(mi(k'];['/adj/'];['acade@mic'];['0010'];['VCVCV1CVC'];['4'];['abuse-accidentally']
['academical'];['a(ka(de(mi(ki(l'];['/adj/'];['acade@mical'];['00100'];['VCVCV1CVCVC'];['5'];['abuse-accidentally']
['academician'];['a(ka(de(mee(shin'];['/n/'];['academi@cian'];['00010'];['VCVCVCV1CVVC'];['5'];['abuse-accidentally']
['academist'];['a(ka(di(mi(st'];['/n/'];['aca@demist'];['0100'];['VCV1CVCVCC'];['4'];['abuse-accidentally']
['academy'];['a(ka(di(my('];['/n/'];['aca@demy'];['0100'];['VCV1CVCV'];['4'];['abuse-accidentally']
['acanthus'];['a(ka(nthu(ss'];['/lat/'];['aca@nthus'];['010'];['VCV1CCCVC'];['3'];['abuse-accidentally']
['accede'];['a(ksee(d'];['/v/'];['acce@de'];['01'];['VCCV1CV'];['2'];['abuse-accidentally']
['accelerate'];['a(kse(li(rait'];['/v/'];['acce@lerate'];['0100'];['VCCV1CVCVCV'];['4'];['abuse-accidentally']
['acceleration'];['a(kse(li(raishu(n'];['/n/'];['accelera@tion'];['00010'];['VCCVCVCV1CVVC'];['5'];['abuse-accidentally']
['accend'];['a(kse(nd'];['/v/'];['acce@nd'];['01'];['VCCV1CC'];['2'];['abuse-accidentally']
['accension'];['a(kse(nshu(n'];['/n/'];['acce@nsion'];['010'];['VCCV1CCVVC'];['3'];['abuse-accidentally']
['accent'];['a(ksi(nt'];['/n/'];['a@ccent'];['10'];['V1CCVCC'];['2'];['abuse-accidentally']
['accent'];['a(kse(nt'];['/v/'];['acce@nt'];['01'];['VCCV1CC'];['2'];['abuse-accidentally']
['accentuate'];['a(kse(nteuait'];['/v/'];['acce@ntuate'];['0100'];['VCCV1CCVVCV'];['4'];['abuse-accidentally']
['accentuation'];['aksenteuaishun'];['/n/'];['accentua@tion'];['00010'];['VCCVCCVV1CVVC'];['5'];['abuse-accidentally']
['accept'];['a(kse(pt'];['/v/'];['acce@pt'];['01'];['VCCV1CC'];['2'];['abuse-accidentally']
['acceptable'];['a(kse(pti(bl'];['/adj/'];['acce@ptable'];['010'];['VCCV1CCVCCV'];['3'];['abuse-accidentally']
['acceptableness'];['a(kse(pti(blni(ss'];['/n/'];['acce@ptableness'];['01000'];['VCCV1CCVCCVCVCC'];['5'];['abuse-accidentally']
['acceptably'];['a(kse(pti(bly('];['/adv/'];['acce@ptably'];['0100'];['VCCV1CCVCCV'];['4'];['abuse-accidentally']
['acceptance'];['a(ksepti(nss'];['/n/'];['acce@ptance'];['010'];['VCCV1CCVCCV'];['3'];['abuse-accidentally']
['acceptation'];['a(kse(ptaishun'];['/n/'];['accepta@tion'];['0010'];['VCCVCCV1CVVC'];['4'];['abuse-accidentally']
['accepter'];['a(kse(pti(r'];['/n/'];['acce@pter'];['010'];['VCCV1CCVC'];['3'];['abuse-accidentally']
['acception'];['a(kse(pshun'];['/n/'];['acce@ption'];['010'];['VCCV1CCVVC'];['3'];['abuse-accidentally']
['access'];['a(kse(ss'];['/n/'];['acce@ss'];['01'];['VCCV1CC'];['2'];['abuse-accidentally']
['accessary'];['a(ksi(ssairry('];['/n/adj/'];['a@ccessary'];['1000'];['V1CCVCCVCV'];['4'];['abuse-accidentally']
['accessible'];['a(kse(ssi(bl'];['/adj/'];['acce@ssible'];['010'];['VCCV1CCVCCV'];['3'];['abuse-accidentally']
['accession'];['a(kse(shu(n'];['/n/'];['acce@ssion'];['010'];['VCCV1CCVVC'];['3'];['abuse-accidentally']
['accessory'];['a(kse(ssu(ry('];['/n/adj/'];['a@ccessory'];['1000'];['V1CCVCCVCV'];['4'];['abuse-accidentally']
['accidence'];['a(ksi(di(nss'];['/n/'];['a@ccidence'];['100'];['V1CCVCVCCV'];['3'];['abuse-accidentally']
['accident'];['a(ksi(di(nt'];['/n/'];['a@ccident'];['100'];['V1CCVCVCC'];['3'];['abuse-accidentally']
['accidental'];['a(ksi(de(nti(l'];['/adj/'];['accide@ntal'];['0010'];['VCCVCV1CCVC'];['4'];['abuse-accidentally']
['accidentally'];['a(ksi(de(nti(lly('];['/adv/'];['accide@ntally'];['00100'];['VCCVCV1CCVCCV'];['5'];['abuse-accidentally']
['accipient'];['a(ksi(pi(i(nt'];['/n/'];['acci@pient'];['0100'];['VCCV1CVVCC'];['4'];['accipient-accuracy']
['accite'];['a(ksi)t'];['/v/'];['acci@te'];['01'];['VCCV1CV'];['2'];['accipient-accuracy']
['acclaim'];['a(klaim'];['/n/'];['acclai@m'];['01'];['VCCCVV1C'];['2'];['accipient-accuracy']
['acclamation'];['a(kli(maishu(n'];['/n/'];['acclama@tion'];['0010'];['VCCCVCV1CVVC'];['4'];['accipient-accuracy']
['acclivity'];['a(klee(vi(ty('];['/n/'];['accli@vity'];['0100'];['VCCCV1CVCV'];['4'];['accipient-accuracy']
['accloy'];['a(kloy'];['/v/'];['accloy'];['00'];['VCCCVV'];['2'];['accipient-accuracy']
['accoil'];['a(koil'];['/v/'];['accoi@l'];['01'];['VCCVV1C'];['2'];['accipient-accuracy']
['accommodate'];['a(ko(mo(dait'];['/v/'];['acco@mmodate'];['0100'];['VCCV1CCVCVCV'];['4'];['accipient-accuracy']
['accommodation'];['a(ko(mo(daishun'];['/n/'];['accommoda@tion'];['00010'];['VCCVCCVCV1CVVC'];['5'];['accipient-accuracy']
['accompany'];['a(ku(mpi(ny('];['/v/'];['acco@mpany'];['0100'];['VCCV1CCVCV'];['4'];['accipient-accuracy']
['accomplice'];['a(ko(mpli(ss'];['/n/'];['acco@mplice'];['010'];['VCCV1CCCVCV'];['3'];['accipient-accuracy']
['accomplish'];['a(ko(mpli(sh'];['/v/'];['acco@mplish'];['010'];['VCCV1CCCVCC'];['3'];['accipient-accuracy']
['accomplished'];['a(ko(mpli(shi(d'];['/adj/'];['acco@mplished'];['0100'];['VCCV1CCCVCCVC'];['4'];['accipient-accuracy']
['accomplisher'];['a(ko(mpli(shi(r'];['/n/'];['acco@mplisher'];['0100'];['VCCV1CCCVCCVC'];['4'];['accipient-accuracy']
['accomplishment'];['a(ko(mpli(shmi(nt'];['/n/'];['acco@mplishment'];['0100'];['VCCV1CCCVCCCVCC'];['4'];['accipient-accuracy']
['accompt'];['a(kou*nt'];['/n/v/'];['acco@mpt'];['01'];['VCCV1CCC'];['2'];['accipient-accuracy']
['accomptant'];['a(kou*nti(nt'];['/n/'];['acco@mptant'];['010'];['VCCV1CCCVCC'];['3'];['accipient-accuracy']
['accord'];['a(ko%rd'];['/n/v/'];['acco@rd'];['01'];['VCCV1CC'];['2'];['accipient-accuracy']
['accordance'];['a(ko%rdi(nss'];['/n/'];['acco@rdance'];['010'];['VCCV1CCVCCV'];['3'];['accipient-accuracy']
['accordant'];['a(ko%rdi(nt'];['/adj/'];['acco@rdant'];['010'];['VCCV1CCVCC'];['3'];['accipient-accuracy']
['according'];['a(ko%rdi(n'];['/conj/prep/'];['acco@rding'];['010'];['VCCV1CCVCC'];['3'];['accipient-accuracy']
['accordingly'];['a(ko%rdi(nly('];['/adv/'];['acco@rdingly'];['0100'];['VCCV1CCVCCCV'];['4'];['accipient-accuracy']
['accost'];['a(ko%st'];['/v/'];['acco@st'];['01'];['VCCV1CC'];['2'];['accipient-accuracy']
['account'];['a(kou*nt'];['/n/v/'];['accou@nt'];['01'];['VCCVV1CC'];['2'];['accipient-accuracy']
['accountable'];['a(kou*nti(bl'];['/adj/'];['accou@ntable'];['010'];['VCCVV1CCVCCV'];['3'];['accipient-accuracy']
['accountant'];['a(kou*nti(nt'];['/n/'];['accou@ntant'];['010'];['VCCVV1CCVCC'];['3'];['accipient-accuracy']
['accoutre'];['a(kou*ti(r'];['/v/'];['accou@tre'];['010'];['VCCVV1CCV'];['3'];['accipient-accuracy']
['accoutrement'];['a(kou*trmi(nt'];['/n/'];['acco@utrement'];['0100'];['VCCV1VCCVCVCC'];['4'];['accipient-accuracy']
['accretion'];['a(kree(shun'];['/n/'];['accre@tion'];['010'];['VCCCV1CVVC'];['3'];['accipient-accuracy']
['accretive'];['a(kree(ti(v'];['/adj/'];['accre@tive'];['010'];['VCCCV1CVCV'];['3'];['accipient-accuracy']
['accrue'];['a(krew'];['/v/'];['accru@e'];['01'];['VCCCV1V'];['2'];['accipient-accuracy']
['accubation'];['a(keubaishun'];['/n/'];['accuba@tion'];['0010'];['VCCVCV1CVVC'];['4'];['accipient-accuracy']
['accumb'];['a(ku(m'];['/v/'];['accu@mb'];['01'];['VCCV1CC'];['2'];['accipient-accuracy']
['accumulate'];['a(keumu(lait'];['/v/'];['accu@mulate'];['0100'];['VCCV1CVCVCV'];['4'];['accipient-accuracy']
['accumulation'];['a(keumu(laishu(n'];['/n/'];['accumula@tion'];['00010'];['VCCVCVCV1CVVC'];['5'];['accipient-accuracy']
['accumulative'];['a(keumu(li(ti(v'];['/adj/'];['accu@mulative'];['01000'];['VCCV1CVCVCVCV'];['5'];['accipient-accuracy']
['accumulator'];['a(keumu(laitu(r'];['/n/'];['accumula@tor'];['00010'];['VCCVCVCV1CVC'];['5'];['accipient-accuracy']
['accuracy'];['akeuri(ssy('];['/n/'];['a@ccuracy'];['1000'];['V1CCVCVCV'];['4'];['accipient-accuracy']
['accurate'];['a(keurait'];['/adj/'];['accurate'];['000'];['VCCVCVCV'];['3'];['accurate-acquisition']
['accurately'];['a(keuraitly('];['/adv/'];['a@ccurately'];['10000'];['V1CCVCVCVCV'];['5'];['accurate-acquisition']
['accurateness'];['a(keuraitni(ss'];['/n/'];['a@ccurateness'];['10000'];['V1CCVCVCVCVCC'];['5'];['accurate-acquisition']
['accurse'];['a(ku(rss'];['/v/'];['accu@rse'];['01'];['VCCV1CCV'];['2'];['accurate-acquisition']
['accursed'];['a(ku(rsi(d'];['/adj/'];['accu@rsed'];['010'];['VCCV1CCVC'];['3'];['accurate-acquisition']
['accusation'];['a(keuzaishun'];['/n/'];['accusa@tion'];['0010'];['VCCVCV1CVVC'];['4'];['accurate-acquisition']
['accusative'];['a(keuzi(ti(v'];['/n/adj/'];['accu@sative'];['0100'];['VCCV1CVCVCV'];['4'];['accurate-acquisition']
['accuse'];['a(keuz'];['/v/'];['accu@se'];['01'];['VCCV1CV'];['2'];['accurate-acquisition']
['accuser'];['a(keuzi(r'];['/n/'];['accu@ser'];['010'];['VCCV1CVC'];['3'];['accurate-acquisition']
['accustom'];['a(ku(stu(m'];['/v/'];['accustom'];['000'];['VCCVCCVC'];['3'];['accurate-acquisition']
['accustomary'];['a(ku(stu(mai(ry('];['/adj/'];['accu@stomary'];['01000'];['VCCV1CCVCVCV'];['5'];['accurate-acquisition']
['accustomed'];['aku(stu(mi(d'];['/adj/'];['accu@stomed'];['0100'];['VCCV1CCVCVC'];['4'];['accurate-acquisition']
['acephalous'];['a(se(fa(lu(s'];['/adj/'];['ace@phalous'];['0100'];['VCV1CCVCVVC'];['4'];['accurate-acquisition']
['acerbity'];['a(se(rbi(ty('];['/n/'];['ace@rbity'];['0100'];['VCV1CCVCV'];['4'];['accurate-acquisition']
['acervate'];['a(se(rvait'];['/v/'];['ace@rvate'];['010'];['VCV1CCVCV'];['3'];['accurate-acquisition']
['acescent'];['a(se(ssi(nt'];['/adj/'];['ace@scent'];['010'];['VCV1CCVCC'];['3'];['accurate-acquisition']
['acetous'];['a(see(tu(s'];['/adj/'];['ace@tous'];['010'];['VCV1CVVC'];['3'];['accurate-acquisition']
['ache'];['aik'];['/n/'];['ache'];['0'];['VCCV'];['1'];['accurate-acquisition']
['atchieve'];['a(tsheev'];['/v/'];['atchie@ve'];['01'];['VCCCVV1CV'];['2'];['accurate-acquisition']
['atchievement'];['a(tsheevmi(nt'];['/n/'];['atchie@vement'];['010'];['VCCCVV1CVCVCC'];['3'];['accurate-acquisition']
['achlys'];['a(kli(s'];['//'];['a@chlys'];['10'];['V1CCCVC'];['2'];['accurate-acquisition']
['achor'];['aikor'];['/n/'];['a@chor'];['10'];['V1CCVC'];['2'];['accurate-acquisition']
['acid'];['a(ssi(d'];['/adj/'];['a@cid'];['10'];['V1CVC'];['2'];['accurate-acquisition']
['acidity'];['a(ssi(di(ty('];['/n/'];['aci@dity'];['0100'];['VCV1CVCV'];['4'];['accurate-acquisition']
['acidness'];['a(ssi(dni(ss'];['/n/'];['a@cidness'];['100'];['V1CVCCVCC'];['3'];['accurate-acquisition']
['acknowledge'];['akno(li(dsh'];['/v/'];['ackno@wledge'];['010'];['VCCCV1CCVCCV'];['3'];['accurate-acquisition']
['acknowledgement'];['a(kno(li(dshmi(nt'];['/n/'];['ackno@wledgement'];['0100'];['VCCCV1CCVCCVCVCC'];['4'];['accurate-acquisition']
['acme'];['a(kmy('];['/n/'];['a@cme'];['1'];['V1CCV'];['1'];['accurate-acquisition']
['aconite'];['a(ko(ni)t'];['/n/'];['a@conite'];['100'];['V1CVCVCV'];['3'];['accurate-acquisition']
['acorn'];['a%ko(rn'];['/n/'];['a@corn'];['10'];['V1CVCC'];['2'];['accurate-acquisition']
['acoustics'];['a(kou*sti(ks'];['/n/'];['acou@stics'];['010'];['VCVV1CCVCC'];['3'];['accurate-acquisition']
['acquaint'];['a(kquaint'];['/v/'];['acquai@nt'];['01'];['VCCVVV1CC'];['2'];['accurate-acquisition']
['acquaintance'];['a(kquainti(nss'];['/n/'];['acquai@ntance'];['010'];['VCCVVV1CCVCCV'];['3'];['accurate-acquisition']
['acquainted'];['a(kquainti(d'];['/adj/'];['acquai@nted'];['010'];['VCCVVV1CCVC'];['3'];['accurate-acquisition']
['acquest'];['a(kque(st'];['/n/'];['acque@st'];['01'];['VCCVV1CC'];['2'];['accurate-acquisition']
['acquiesce'];['a(kqui(e(ss'];['/v/'];['acquie@sce'];['001'];['VCCVVV1CCV'];['3'];['accurate-acquisition']
['acquiescence'];['a(kqui(essi(nss'];['/n/'];['acquie@scence'];['0010'];['VCCVVV1CCVCCV'];['4'];['accurate-acquisition']
['acquire'];['a(kqui)r'];['/v/'];['acqui@re'];['01'];['VCCVV1CV'];['2'];['accurate-acquisition']
['acquired'];['a(kqui)ri(d'];['/adj/'];['acqui@red'];['010'];['VCCVV1CVC'];['3'];['accurate-acquisition']
['acquisition'];['a(kqui(zee(shun'];['/n/'];['acquisi@tion'];['0010'];['VCCVVCV1CVVC'];['4'];['accurate-acquisition']
['acquisitive'];['a(kqui(zi(ti(v'];['/adj/'];['acqui@sitive'];['0100'];['VCCVV1CVCVCV'];['4'];['acquisitive-addibility']
['acquit'];['a(kqui(t'];['/v/'];['acqui@t'];['01'];['VCCVV1C'];['2'];['acquisitive-addibility']
